geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.351754 4.8509571),Legmeerstraat 80/H,Amsterdam,industriefunctie,Werkplaats,Bedrijven,B,340,6,KA03,0363010011118205
POINT (52.3905341 4.850522),Isolatorweg 15,Amsterdam,industriefunctie,Productieruimte,Bedrijven,B,862,8,EA02,0363010012119306
POINT (52.382733 4.850627),Admiraal De Ruijterweg 401/H,Amsterdam,winkelfunctie,Kantoor|Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,124,5,EE01,0363010000560419
POINT (52.390147 4.850538),Isolatorweg 9,Amsterdam,industriefunctie,Kantoor|Productieruimte,Bedrijven,B,2233,10,EA02,0363010000678101
POINT (52.365228 4.850847),Van Middellandtstraat 31,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,156,5,EM03,0363010012098352
POINT (52.365218 4.8508481),Van Middellandtstraat 33,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,59,4,EM03,0363010012098353
POINT (52.353345 4.850997),Weissenbruchstraat 29/H,Amsterdam,industriefunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,130,5,KA03,0363010000864899
POINT (52.370367 4.850791),Mercatorplein 88,Amsterdam,winkelfunctie,Kantoor|Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,325,6,EK03,0363010000634914
POINT (52.3831101 4.8506379),Admiraal De Ruijterweg 406,Amsterdam,bijeenkomstfunctie,Opstal,Maatschappelijke bijeenkomst,Y,1220,9,EE02,0363010000560434
POINT (52.351162 4.85103),Hoofddorpweg 24/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,56,4,KA03,0363010012155814
POINT (52.367023 4.8508469),Willem Schoutenstraat 48,Amsterdam,kantoorfunctie,Praktijkruimte,Zorg,Z,59,4,EM01,0363010000872682
POINT (52.364952 4.850885),Orteliusstraat 17T,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,158,5,EM03,0363010012098335
POINT (52.333169 4.851269),Tjotterspad 23,Amsterdam,sportfunctie,Opslag/magazijn|Overige ruimten|Sanitaire ruimte,Bedrijven,B,1263,9,KQ01,0363010000828634
POINT (52.3649521 4.850895),Orteliusstraat 17S,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,59,4,EM03,0363010012098334
POINT (52.398407 4.8504971),Dynamostraat 68,Amsterdam,industriefunctie,Kantoor|Opslag/magazijn|Sanitaire ruimte,Bedrijven,B,1429,9,BB07,0363010000675455
